community,project_title,sector,issue,action,priority,source_note
Red Hook,Neighborhood Microgrid for Public Housing,Energy,"Residents lose heat, elevators, and refrigeration during outages.","Install a neighborhood microgrid with solar, batteries, and backup connections for public housing buildings.",High,"Inspired by coastal recovery planning examples in the course materials."
Red Hook,Floodproof Community Center Shelter,Emergency Management,"Shelter operations fail when ground-floor equipment floods.","Elevate electrical systems and retrofit the community center so it can operate as a storm shelter.",High,"Inspired by neighborhood resilience hub concepts in the course materials."
Long Beach,Dune and Boardwalk Reinforcement,Coastal Protection,"Repeated storm surge damages oceanfront access and weakens shoreline protection.","Expand dune restoration, reinforce the boardwalk, and add sand retention features.",High,"Inspired by shoreline recovery strategies in the course materials."
Long Beach,Transit Entrance Flood Barriers,Transportation,"Rail and bus access is disrupted by surge water entering stations and access points.","Install removable flood barriers and pump upgrades at transit entrances.",Medium,"Inspired by transit resilience examples in the course materials."
Lower Manhattan,Subway Vent Flood Gates,Transportation,"Underground transit assets flood through vents and stairways during major storms.","Add deployable flood gates, raised vents, and monitoring sensors at key subway openings.",High,"Inspired by Lower Manhattan recovery planning themes."
Broad Channel,Emergency Ferry Staging Area,Transportation,"Road access can be cut off during severe flooding.","Designate and equip a ferry staging area for emergency passenger and supply transport.",Medium,"Inspired by coastal access planning examples in the course materials."
Fire Island,Backup Power for Medical Needs Registry,Public Health,"People with medical devices face high risk when power fails.","Create a registry-linked backup power and charging program for medically vulnerable residents.",High,"Inspired by public health preparedness strategies in the course materials."
Canarsie,Storm Drain Upgrade Program,Water Infrastructure,"Street flooding persists because drainage systems are undersized and clogged.","Upgrade storm drains, add backflow prevention, and prioritize repetitive flood blocks.",High,"Inspired by drainage upgrade strategies in the course materials."
Staten Island,Wetland Buffer Restoration,Environmental Protection,"Hard shoreline edges increase wave impact and erosion.","Restore wetlands and living shorelines to reduce surge energy before it reaches homes.",Medium,"Inspired by natural infrastructure strategies in the course materials."
Yonkers,Cooling and Resilience Hub Network,Public Health,"Heat waves and blackouts leave residents without safe indoor space.","Convert libraries and schools into resilience hubs with cooling, Wi-Fi, and backup power.",Medium,"Inspired by resilience hub planning examples in the course materials."
Rockaway East,Mobile Clinic Deployment Plan,Public Health,"Residents lose access to primary care and medications after disasters.","Pre-stage mobile clinic contracts and pharmacy support for post-storm deployment.",Medium,"Inspired by continuity-of-care strategies in the course materials."
Freeport,Small Business Continuity Grant Program,Economic Recovery,"Small businesses reopen slowly after flood damage and long utility outages.","Offer rapid micro-grants for cleanup, replacement equipment, and continuity planning.",Low,"Inspired by local recovery financing strategies in the course materials."
